,Threshold_1,Threshold_2,Type,PValueAvg,Wilcoxon_PValue,Kruskal_PValue,MannWhitney_PValue,KolmogorovSmirnov_PValue
0,0,1,avg_event_change_norm,0.2409999999999999920063942226988729089499,0.3095999999999999863220523366180714219809,0.2363999999999999990230037383298622444272,0.2366000000000000047517545453956699930131,0.1814999999999999946709294817992486059666
1,0,2,avg_event_change_norm,0.1418000000000000093702823278363212011755,0.1794000000000000039079850466805510222912,0.1638000000000000011546319456101628020406,0.1638999999999999901412195413286099210382,0.0601000000000000006439293542825907934457
2,0,5,avg_event_change_norm,0.0463000000000000008770761894538736669347,0.0614000000000000031863400806741992710158,0.0478000000000000022093438190040615154430,0.0478999999999999981348253186297370120883,0.0280000000000000005828670879282071837224
3,0,10,avg_event_change_norm,0.3522000000000000130562227695918409153819,0.3401000000000000134114941374718910083175,0.3754000000000000114575016141316154971719,0.3755000000000000004440892098500626161695,0.3175999999999999934274796942190732806921
4,1,2,avg_event_change_norm,0.7527000000000000357047724719450343400240,0.6657999999999999474198375537525862455368,0.9522000000000000463629135083465371280909,0.9525000000000000133226762955018784850836,0.4403000000000000246913600676634814590216
5,1,5,avg_event_change_norm,0.4583999999999999741540079867263557389379,0.5929999999999999715782905695959925651550,0.4001000000000000111910480882215779274702,0.4002999999999999891642232796584721654654,0.4403000000000000246913600676634814590216
6,1,10,avg_event_change_norm,0.7519000000000000127897692436818033456802,0.8177999999999999714006548856559675186872,0.6897999999999999687361196265555918216705,0.6899999999999999467092948179924860596657,0.8098999999999999532818151237734127789736
7,2,5,avg_event_change_norm,0.3977999999999999869437772304081590846181,0.3180999999999999938715689040691358968616,0.3814000000000000167865721323323668912053,0.3815999999999999947597473237692611292005,0.5102999999999999758415469841565936803818
8,2,10,avg_event_change_norm,0.6109999999999999875655021241982467472553,0.5506999999999999673150341550353914499283,0.6158000000000000140332190312619786709547,0.6159999999999999920063942226988729089499,0.6614999999999999769073610877967439591885
9,5,10,avg_event_change_norm,0.2827000000000000068389738316909642890096,0.3109000000000000096811447747313650324941,0.2218999999999999861444166526780463755131,0.2220000000000000028865798640254070051014,0.3758000000000000229150032282632309943438
